product_sku,product_name,product_name_localized,inventory_item_sku,inventory_item_name,inventory_item_name_localized,quantity,unit,ingredient_cost
FG00073,ماكرون مانجو مع باشون,,FG00073,ماكرون مانجو مع باشون,,1,Unit,0
FG00074,تمرية اللوتس,,FG00074,تمرية اللوتس,,1,Unit,0
FG00075,فراولة مغطسة,,FG00075,فراولة مغطسة,,1,Unit,0
FG00076,معمول مغطس,,FG00076,معمول مغطس,,1,Unit,0
FG00077,كورن الفستق,,FG00077,كورن الفستق,,1,Unit,0
FG00078,كورن المانجو,,FG00078,كورن المانجو,,1,Unit,0
FG00079,كورن الفراولة مع الرازبيرى,,FG00079,كورن الفراولة مع الرازبيرى,,1,Unit,0
FG00080,كورن الشوكولا,,FG00080,كورن الشوكولا,,1,Unit,0
FG00081,شوكو فخامة لوتس مع كراميل- جملة382,,FG00081,شوكو فخامة لوتس مع كراميل- جملة382,,1,Unit,0
FG00082,شوكو فخامة ويفر كود جملة 221 - 222 -383,,FG00082,شوكو فخامة ويفر كود جملة 221 - 222 -383,,1,Unit,0
FG00083,شوكو فخامة فرجنوزا مع ويفر -386,,FG00083,شوكو فخامة فرجنوزا مع ويفر -386,,1,Unit,0
FG00084,شوكو فخامة كوكيز - 381,,FG00084,شوكو فخامة كوكيز - 381,,1,Unit,0
FG00085,شيكولا خروف العيد ابيض,,FG00085,شيكولا خروف العيد ابيض,,1,Unit,0
FG00086,شيكولا خروف العيد ميلك,,FG00086,شيكولا خروف العيد ميلك,,1,Unit,0
FG00087,شيكولا بروانيز مغلف,,FG00087,شيكولا بروانيز مغلف,,1,Unit,0
FG00088,شيكولا لوز مغلف - كود جملة 263,,FG00088,شيكولا لوز مغلف - كود جملة 263,,1,Unit,0
FG00089,شيكولا مكسرات ( مغلف ),,FG00089,شيكولا مكسرات ( مغلف ),,1,Unit,0
FG00090,شيكولا مكسرات مكس للجملة كود 259,,FG00090,شيكولا مكسرات مكس للجملة كود 259,,1,Unit,0
FG00091,شيكولا فستق مغلف - كود جملة 255,,FG00091,شيكولا فستق مغلف - كود جملة 255,,1,Unit,0
FG00092,شيكولا ويفرقبل التغليف- كود جملة 274,,FG00092,شيكولا ويفرقبل التغليف- كود جملة 274,,1,Unit,0
FG00094,شيكولا تشيز قبل التغليف,,FG00094,شيكولا تشيز قبل التغليف,,1,Unit,0
FG00095,شيكولا بار بندق قبل التغليف جملة 288,,FG00095,شيكولا بار بندق قبل التغليف جملة 288,,1,Unit,0
FG00096,كنافة كاب فستق,,FG00096,كنافة كاب فستق,,1,Unit,0
FG00097,كنافة كاب لوتس,,FG00097,كنافة كاب لوتس,,1,Unit,0
FG00098,كنافة كاب رازبيرى,,FG00098,كنافة كاب رازبيرى,,1,Unit,0
FG00099,كنافة كاب فراولة,,FG00099,كنافة كاب فراولة,,1,Unit,0
FG00100,كنافة كاب مانجو,,FG00100,كنافة كاب مانجو,,1,Unit,0
FG00101,شيكولا حفر دائرى/قلب اوريو,,FG00101,شيكولا حفر دائرى/قلب اوريو,,1,Unit,0
FG00102,شيكولا حفر مربع ويفر,,FG00102,شيكولا حفر مربع ويفر,,1,Unit,0
FG00103,شيكولا حفر دائري/قلب لوتس,,FG00103,شيكولا حفر دائري/قلب لوتس,,1,Unit,0
FG00104,شيكولا حفر دائري/قلب ويفر,,FG00104,شيكولا حفر دائري/قلب ويفر,,1,Unit,0
FG00105,شيكولا حفر مربع لوتس,,FG00105,شيكولا حفر مربع لوتس,,1,Unit,0
FG00106,شيكولا حفر مربع اوريو,,FG00106,شيكولا حفر مربع اوريو,,1,Unit,0
FG00107,شيكولا كرسبى سمسم,,FG00107,شيكولا كرسبى سمسم,,1,Unit,0
FG00108,شيكولا كورن فليكس مع لوز,,FG00108,شيكولا كورن فليكس مع لوز,,1,Unit,0
FG00109,شيكولا شيبس جوز هند,,FG00109,شيكولا شيبس جوز هند,,1,Unit,0
FG00110,شيكولا شيبس كيوي,,FG00110,شيكولا شيبس كيوي,,1,Unit,0
FG00111,شيكولا شيبس بندق,,FG00111,شيكولا شيبس بندق,,1,Unit,0
FG00112,شيكولا شيبس كاجو,,FG00112,شيكولا شيبس كاجو,,1,Unit,0
FG00113,شيكولا شيبس بابايا,,FG00113,شيكولا شيبس بابايا,,1,Unit,0
FG00114,شيكولا شيبس مشمش,,FG00114,شيكولا شيبس مشمش,,1,Unit,0
FG00115,شيكولا جوز هند للجملة كود 213 - 243-364,,FG00115,شيكولا جوز هند للجملة كود 213 - 243-364,,1,Unit,0
FG00116,شيكولا برالين - كود جملة 202,,FG00116,شيكولا برالين - كود جملة 202,,1,Unit,0
FG00117,شيكولا بالقرفة للجملة كود 214,,FG00117,شيكولا بالقرفة للجملة كود 214,,1,Unit,0
FG00118,شيكولا مانجو اوريو للجملة كود 211 - 240 - 287,,FG00118,شيكولا مانجو اوريو للجملة كود 211 - 240 - 287,,1,Unit,0
FG00119,شيكولا ورد مع ويفر كود جملة 216 - 286,,FG00119,شيكولا ورد مع ويفر كود جملة 216 - 286,,1,Unit,0
FG00120,شيكولا ويفر مع نيوتيلا بيضاء كود جملة 220,,FG00120,شيكولا ويفر مع نيوتيلا بيضاء كود جملة 220,,1,Unit,0
FG00121,شيكولا ويفر مع نيوتيلا سادة كود جملة 219,,FG00121,شيكولا ويفر مع نيوتيلا سادة كود جملة 219,,1,Unit,0
FG00122,اكواب لوتس مع تشيز للجملة - 293 - 294,,FG00122,اكواب لوتس مع تشيز للجملة - 293 - 294,,1,Unit,0
FG00123,اكواب لوز للجملة كود 289 - 290,,FG00123,اكواب لوز للجملة كود 289 - 290,,1,Unit,0
FG00124,اكواب أوريو للجملة كو د 291 - 292,,FG00124,اكواب أوريو للجملة كو د 291 - 292,,1,Unit,0
FG00125,شيكولا كريب,,FG00125,شيكولا كريب,,1,Unit,0
FG00126,شيكولا كراميل بندق,,FG00126,شيكولا كراميل بندق,,1,Unit,0
FG00127,شيكولا كوفي كرامبل,,FG00127,شيكولا كوفي كرامبل,,1,Unit,0
FG00128,شوكولا تشيز - جملة 322,,FG00128,شوكولا تشيز - جملة 322,,1,Unit,0
FG00129,شيكولا براونيز كاب جملة (295),,FG00129,شيكولا براونيز كاب جملة (295),,1,Unit,0
FG00130,شيكولا كريب فراولة جملة (272),,FG00130,شيكولا كريب فراولة جملة (272),,1,Unit,0
FG00131,شيكولا كريب فستق جملة (273),,FG00131,شيكولا كريب فستق جملة (273),,1,Unit,0
FG00132,كريم الفستق كود جملة 203,,FG00132,كريم الفستق كود جملة 203,,1,Unit,0
FG00133,بينات كراميل للجملة كود 208,,FG00133,بينات كراميل للجملة كود 208,,1,Unit,0
FG00134,مانجو كروكانتين كود جملة 212,,FG00134,مانجو كروكانتين كود جملة 212,,1,Unit,0
FG00135,فول سودانى ودايجستف كود جملة 223-347,,FG00135,فول سودانى ودايجستف كود جملة 223-347,,1,Unit,0
FG00136,قهوة مقرمشة كود جملة 231,,FG00136,قهوة مقرمشة كود جملة 231,,1,Unit,0
FG00137,بيستاشو ناتس جملة كود 232,,FG00137,بيستاشو ناتس جملة كود 232,,1,Unit,0
FG00138,جوز وكراميل جملة كود 234,,FG00138,جوز وكراميل جملة كود 234,,1,Unit,0
FG00139,تشيز كيك وكراميل وبندق جملة كود 236,,FG00139,تشيز كيك وكراميل وبندق جملة كود 236,,1,Unit,0
FG00140,بابايا وهيل للجملة كود 237,,FG00140,بابايا وهيل للجملة كود 237,,1,Unit,0
FG00141,فيوتين المانجا للجملة كود 239-405,,FG00141,فيوتين المانجا للجملة كود 239-405,,1,Unit,0
FG00142,بروانيز الفراولة للجملة كود 242,,FG00142,بروانيز الفراولة للجملة كود 242,,1,Unit,0
FG00143,شيكولا دايجستف وبارلين للجملة كود 244,,FG00143,شيكولا دايجستف وبارلين للجملة كود 244,,1,Unit,0
FG00144,شيكولا حلاوة رهش للجملة كود 245,,FG00144,شيكولا حلاوة رهش للجملة كود 245,,1,Unit,0
FG00145,شيكولا تمر وزعفران للجملة كود 246 - 264,,FG00145,شيكولا تمر وزعفران للجملة كود 246 - 264,,1,Unit,0
FG00146,شيكولا فول سودانى-جملة247 - 323-329,,FG00146,شيكولا فول سودانى-جملة247 - 323-329,,1,Unit,0
FG00147,شيكولا مارشيملو تشيز كيك للجملة كود 248,,FG00147,شيكولا مارشيملو تشيز كيك للجملة كود 248,,1,Unit,0
FG00148,شيكولا هيل وحلاوة للجملة كود 250,,FG00148,شيكولا هيل وحلاوة للجملة كود 250,,1,Unit,0
FG00149,شيكولا كراميل و فول سودانى للجملة كود 256,,FG00149,شيكولا كراميل و فول سودانى للجملة كود 256,,1,Unit,0
FG00150,شيكولا فانيلا ويفر فيويتن للجملة كود 257,,FG00150,شيكولا فانيلا ويفر فيويتن للجملة كود 257,,1,Unit,0
FG00151,شيكولا فستق ورد للجملة كود 258,,FG00151,شيكولا فستق ورد للجملة كود 258,,1,Unit,0
FG00152,شيكولا دايجستف فول سوادنى للجملة كود 260,,FG00152,شيكولا دايجستف فول سوادنى للجملة كود 260,,1,Unit,0
FG00153,شيكولا توفي و مكسرات للجملة كود 261,,FG00153,شيكولا توفي و مكسرات للجملة كود 261,,1,Unit,0
FG00154,شيكولا روشية الفراولة للجملة كود 262,,FG00154,شيكولا روشية الفراولة للجملة كود 262,,1,Unit,0
FG00155,شيكولا كنافة فستق للجملة كود 265,,FG00155,شيكولا كنافة فستق للجملة كود 265,,1,Unit,0
FG00156,شيكولا كنافة تمر ودايجستف للجملة كود 276,,FG00156,شيكولا كنافة تمر ودايجستف للجملة كود 276,,1,Unit,0
FG00157,شيكولا لوز و كراميل -جملة277 و 377,,FG00157,شيكولا لوز و كراميل -جملة277 و 377,,1,Unit,0
FG00158,شيكولا ويفر ورد كاب للجملة كود 278,,FG00158,شيكولا ويفر ورد كاب للجملة كود 278,,1,Unit,0
FG00159,شيكولا كراميل تشيز كاب للجملة كود 279,,FG00159,شيكولا كراميل تشيز كاب للجملة كود 279,,1,Unit,0
FG00160,شيكولا فستق تشيز كاب للجملة كود 280,,FG00160,شيكولا فستق تشيز كاب للجملة كود 280,,1,Unit,0
FG00161,شيكولا فستق وفراولة كروكانتين للجملة كود 282,,FG00161,شيكولا فستق وفراولة كروكانتين للجملة كود 282,,1,Unit,0
FG00162,شيكولا مانجا و فراولة و ويفر للجملة كود 283,,FG00162,شيكولا مانجا و فراولة و ويفر للجملة كود 283,,1,Unit,0
FG00163,شيكولا ويفر و لوز مقرمش للجملة كود 284,,FG00163,شيكولا ويفر و لوز مقرمش للجملة كود 284,,1,Unit,0
FG00164,شيكولا تشيز كيك الورد للجملة كود 269,,FG00164,شيكولا تشيز كيك الورد للجملة كود 269,,1,Unit,0
FG00165,شيكولا حفر مع فواكه كوفي بريك,,FG00165,شيكولا حفر مع فواكه كوفي بريك,,1,Unit,0
FG00166,تارت لاروز بسكويت نخالة,,FG00166,تارت لاروز بسكويت نخالة,,1,Unit,0
FG00167,بروفت رول بالحبة,,FG00167,بروفت رول بالحبة,,1,Unit,0
FG00168,سلطة فواكه كوفي بريك,,FG00168,سلطة فواكه كوفي بريك,,1,Unit,0
FG00169,باسكت فواكه كوفي بريك,,FG00169,باسكت فواكه كوفي بريك,,1,Unit,0
FG00170,كوكيز ميكس كوفي بريك,,FG00170,كوكيز ميكس كوفي بريك,,1,Unit,0
FG00171,كلير ميني كوفي بريك الحبة 40 جرام,,FG00171,كلير ميني كوفي بريك الحبة 40 جرام,,1,Unit,0
FG00172,بروانيز كوفي بريك الحبة 25 جرام,,FG00172,بروانيز كوفي بريك الحبة 25 جرام,,1,Unit,0
FG00173,شيكولا فستق مع ورد,,FG00173,شيكولا فستق مع ورد,,1,Unit,0
FG00174,شيكولا بندق مع ورد,,FG00174,شيكولا بندق مع ورد,,1,Unit,0
FG00175,شيكولا لوز مع ورد,,FG00175,شيكولا لوز مع ورد,,1,Unit,0
FG00176,شيكولا فول سودانى مع ورد,,FG00176,شيكولا فول سودانى مع ورد,,1,Unit,0
FG00177,شيكولا فراولة مجففة,,FG00177,شيكولا فراولة مجففة,,1,Unit,0
FG00178,شيكولا زبيب اسود مجفف,,FG00178,شيكولا زبيب اسود مجفف,,1,Unit,0
FG00179,شيكولا باباى مجففة,,FG00179,شيكولا باباى مجففة,,1,Unit,0
FG00180,شيكولا كيوى مجففة,,FG00180,شيكولا كيوى مجففة,,1,Unit,0
FG00181,شيكولا جوزهند مجففة,,FG00181,شيكولا جوزهند مجففة,,1,Unit,0
FG00182,شيكولا دايجستيف بينت 19,,FG00182,شيكولا دايجستيف بينت 19,,1,Unit,0
FG00183,شيكولا نوتيلا بندق 19,,FG00183,شيكولا نوتيلا بندق 19,,1,Unit,0
FG00184,شيكولا كراميل 19 - جملة 326 - 320,,FG00184,شيكولا كراميل 19 - جملة 326 - 320,,1,Unit,0
FG00185,شيكولا ويفر كراميل 19 - جملة 321,,FG00185,شيكولا ويفر كراميل 19 - جملة 321,,1,Unit,0
FG00186,شيكولا فراولة تشيز - جملة281 - 327,,FG00186,شيكولا فراولة تشيز - جملة281 - 327,,1,Unit,0
FG00187,شيكولا تشيز بيري 19 كود جملة 205,,FG00187,شيكولا تشيز بيري 19 كود جملة 205,,1,Unit,0
FG00188,شيكولا نوتيلا شوكليت19 - كود جملة 206,,FG00188,شيكولا نوتيلا شوكليت19 - كود جملة 206,,1,Unit,0
FG00189,شيكولا سولتيد بينت كود جملة 235,,FG00189,شيكولا سولتيد بينت كود جملة 235,,1,Unit,0
FG00190,شيكولا ريد فيلفت جملة(296),,FG00190,شيكولا ريد فيلفت جملة(296),,1,Unit,0
FG00191,شوكولا توت بري - جملة 298,,FG00191,شوكولا توت بري - جملة 298,,1,Unit,0
FG00192,شيكولا ميكس مكسرات VIP,,FG00192,شيكولا ميكس مكسرات VIP,,1,Unit,0
FG00193,شيكولا اسكواش VIP,,FG00193,شيكولا اسكواش VIP,,1,Unit,0
FG00194,شيكولا توفي بندق VIP,,FG00194,شيكولا توفي بندق VIP,,1,Unit,0
FG00195,شيكولا قراصيا برتزيل ( بلامز ) VIP,,FG00195,شيكولا قراصيا برتزيل ( بلامز ) VIP,,1,Unit,0
FG00196,شيكولا عين جمل تين VIP,,FG00196,شيكولا عين جمل تين VIP,,1,Unit,0
FG00197,شيكولا تشيز كراميل VIP,,FG00197,شيكولا تشيز كراميل VIP,,1,Unit,0
FG00198,شيكولا بونتى كريب VIP,,FG00198,شيكولا بونتى كريب VIP,,1,Unit,0
FG00199,شيكولا ريس كرسبي ابيض فستق VIP,,FG00199,شيكولا ريس كرسبي ابيض فستق VIP,,1,Unit,0
FG00200,شيكولا اوريو نوتيلا VIP,,FG00200,شيكولا اوريو نوتيلا VIP,,1,Unit,0
FG00201,فطائر العادية,,FG00201,فطائر العادية,,1,Unit,0
FG00202,فطائر فرنسية,,FG00202,فطائر فرنسية,,1,Unit,0
FG00203,تورتيللا ورد,,FG00203,تورتيللا ورد,,1,Unit,0
FG00204,تورتيلا كاسات دجاج,,FG00204,تورتيلا كاسات دجاج,,1,Unit,1.56263
FG00205,تورتيلا  مشكل,,FG00205,تورتيلا  مشكل,,1,Unit,0
FG00206,مسخن مناسبات,,FG00206,مسخن مناسبات,,1,Unit,32.87066
FG00207,كريب سبانخ كوفي بريك 50 جم,,FG00207,كريب سبانخ كوفي بريك 50 جم,,1,Unit,0
FG00208,كريب فاهيتا كوفي بريك 50 جم,,FG00208,كريب فاهيتا كوفي بريك 50 جم,,1,Unit,0
FG00209,سلطة تبولة كوفي بريك 65 جم,,FG00209,سلطة تبولة كوفي بريك 65 جم,,1,Unit,0
FG00210,سلطة تفاح كوكتيل كوفي بريك 65 جم,,FG00210,سلطة تفاح كوكتيل كوفي بريك 65 جم,,1,Unit,0
FG00211,مالفية بالحمص كوفي بريك 50 جم,,FG00211,مالفية بالحمص كوفي بريك 50 جم,,1,Unit,0
FG00212,كيش لوزين كوفي بريك 20 جم,,FG00212,كيش لوزين كوفي بريك 20 جم,,1,Unit,0
FG00213,خضار اعواد كوفي بريك,,FG00213,خضار اعواد كوفي بريك,,1,Unit,0
FG00214,باذنجان محشي متبل كوفي بريك,,FG00214,باذنجان محشي متبل كوفي بريك,,1,Unit,0
FG00215,طبق خضار مشكل كوفي بريك 250 جم,,FG00215,طبق خضار مشكل كوفي بريك 250 جم,,1,Unit,0
FG00216,تارت فلفان كوفي بريك الحبة 25 جم,,FG00216,تارت فلفان كوفي بريك الحبة 25 جم,,1,Unit,0
FG00217,كابريزي اعواد 30 جم,,FG00217,كابريزي اعواد 30 جم,,1,Unit,0
FG00218,كاسة خضار فرش الحبة 35 جم,,FG00218,كاسة خضار فرش الحبة 35 جم,,1,Unit,0
FG00219,تورتللا ورد حلومي الحبة 30 جم,,FG00219,تورتللا ورد حلومي الحبة 30 جم,,1,Unit,0
FG00220,كاسة تبولة الحبة 35 جم,,FG00220,كاسة تبولة الحبة 35 جم,,1,Unit,0
FG00221,فطائر شاورما كوفي بريك الحبة 23 جم,,FG00221,فطائر شاورما كوفي بريك الحبة 23 جم,,1,Unit,0
FG00222,كلوب ساندوتش كوفي بريك الحبة 40 جم,,FG00222,كلوب ساندوتش كوفي بريك الحبة 40 جم,,1,Unit,0
FG00225,فراولة جبنة كيري كوفي بريك الحبة 35 جم,,FG00225,فراولة جبنة كيري كوفي بريك الحبة 35 جم,,1,Unit,0
FG00226,كرواسون ميني بارميزان الحبة 20 جم,,FG00226,كرواسون ميني بارميزان الحبة 20 جم,,1,Unit,0
FG00227,دانش فواكة كوفي بريك الحبة 30 جم,,FG00227,دانش فواكة كوفي بريك الحبة 30 جم,,1,Unit,0
FG00228,كرواسون ميني جبنة فيتا كوفي بريك 35 جم,,FG00228,كرواسون ميني جبنة فيتا كوفي بريك 35 جم,,1,Unit,0
FG00229,كرواسان ميني شيف سلطة 35 جم,,FG00229,كرواسان ميني شيف سلطة 35 جم,,1,Unit,0
FG00230,كرواسان ميني حلومي 35 جم,,FG00230,كرواسان ميني حلومي 35 جم,,1,Unit,0
FG00231,كرواسان ميني تركي مدخن 35 جم,,FG00231,كرواسان ميني تركي مدخن 35 جم,,1,Unit,0
FG00232,كرواسان ميني دجاج شاورما 35 جم,,FG00232,كرواسان ميني دجاج شاورما 35 جم,,1,Unit,0
FG00233,كرواسان ميني فلافل 35 جم,,FG00233,كرواسان ميني فلافل 35 جم,,1,Unit,0
FG00234,باتيه جبنة فيتا بيضاء الحبة 30 جرام,,FG00234,باتيه جبنة فيتا بيضاء الحبة 30 جرام,,1,Unit,0
FG00235,باتى برجر 20 جم,,FG00235,باتى برجر 20 جم,,1,Unit,0
FG00236,باتية جبنة شيدر 30 جم,,FG00236,باتية جبنة شيدر 30 جم,,1,Unit,0
FG00237,دانش سينامول رول 30 جم,,FG00237,دانش سينامول رول 30 جم,,1,Unit,0
FG00238,كبة انصاف حشوة محمرة 30 جم,,FG00238,كبة انصاف حشوة محمرة 30 جم,,1,Unit,0
FG00239,كبة دجاج,,FG00239,كبة دجاج,,1,Unit,0
FG00240,كبة لحم,,FG00240,كبة لحم,,1,Unit,0
FG00241,كبة انصاف,,FG00241,كبة انصاف,,1,Unit,18.44394
FG00242,سمبوسة لحم بانية,,FG00242,سمبوسة لحم بانية,,1,Unit,0
FG00243,سمبوسة جبن,,FG00243,سمبوسة جبن,,1,Unit,0
FG00244,سبرنج رول دجاج,,FG00244,سبرنج رول دجاج,,1,Unit,0
FG00245,كنبيه عادية,,FG00245,كنبيه عادية,,1,Unit,0
FG00246,كنبيه تارت مالح,,FG00246,كنبيه تارت مالح,,1,Unit,0
FG00247,كرواسون ميني محشي جبنة شيدر 30 جم,,FG00247,كرواسون ميني محشي جبنة شيدر 30 جم,,1,Unit,0
FG00248,ورق عنب سوشي,,FG00248,ورق عنب سوشي,,1,Unit,0
FG00249,ورق عنب مطهي عادي,,FG00249,ورق عنب مطهي عادي,,1,Unit,0
FG00250,ورق عنب مطهي حار,,FG00250,ورق عنب مطهي حار,,1,Unit,0
FG00251,ورق عنب عادي بانيه,,FG00251,ورق عنب عادي بانيه,,1,Unit,0
FG00252,محاشي متنوع,,FG00252,محاشي متنوع,,1,Unit,0
FG00253,ملفوف,,FG00253,ملفوف,,1,Unit,0
FG00254,كيكة الريد فيلفت مقاس 28 انش,,FG00254,كيكة الريد فيلفت مقاس 28 انش,,1,Unit,0
FG00255,كيكة البلو فيلفت مقاس 28 انش,,FG00255,كيكة البلو فيلفت مقاس 28 انش,,1,Unit,0
FG00256,كيكة فرنش بان مع الفستق مقاس 28 انش,,FG00256,كيكة فرنش بان مع الفستق مقاس 28 انش,,1,Unit,0
FG00257,كيكة الاوريو مقاس 28 انش,,FG00257,كيكة الاوريو مقاس 28 انش,,1,Unit,0
FG00258,كيكة اللوتس مقاس 28 انش,,FG00258,كيكة اللوتس مقاس 28 انش,,1,Unit,0
